number,name,tier,tier_name,state,par_median,k_median,mr_kq5_pq1
930,University Of Louisiana At Monroe,5,Selective public,LA,59700,35000,0.036614422
931,University Of Louisville,5,Selective public,KY,87400,39800,0.012302854
932,University Of Maine System,5,Selective public,ME,72600,34300,0.013956944
933,University Of Mary,6,Selective private,ND,79700,49800,0.024269696
934,University Of Mary Hardin-Baylor,6,Selective private,TX,83700,40100,0.019624859
935,University Of Mary Washington,5,Selective public,VA,133800,50000,0.0076948632
936,University Of Maryland System (Except University College) And Baltimore City Community College,3,Highly selective public,MD,102800,53500,0.022417931
937,University Of Massachusetts System,5,Selective public,MA,100000,51700,0.020928269
938,University Of Memphis ,5,Selective public,TN,83000,36100,0.012482209
939,University Of Miami,2,Other elite schools (public and private),FL,110100,54800,0.029765638
940,University Of Michigan - Ann Arbor,3,Highly selective public,MI,156100,68700,0.015084569
941,University Of Michigan - Dearborn,5,Selective public,MI,105200,50200,0.023838041
942,University Of Michigan - Flint,5,Selective public,MI,94500,38700,0.01624147
943,University Of Minnesota System,3,Highly selective public,MN,101600,48800,0.011697055
944,University Of Mississippi,5,Selective public,MS,109100,43300,0.016521731
945,University Of Missouri System And Missouri University Of Science And Technology,5,Selective public,MO,103000,48800,0.011646654
946,University Of Mobile,6,Selective private,AL,77600,31300,0.01024286
947,University Of Montana ,5,Selective public,MT,82400,34600,0.013028888
948,University Of Montana Western ,5,Selective public,MT,59700,32200,0.018436743
949,University Of Montevallo,5,Selective public,AL,87700,34900,0.010199877
950,University Of Mount Olive,6,Selective private,NC,57100,38100,0.012975934
951,University Of Mount Union,6,Selective private,OH,83400,44100,0.011336589
952,University Of Nebraska System,5,Selective public,NE,89400,45200,0.012720068
953,"University Of Nevada , Reno",5,Selective public,NV,103500,45900,0.011658425
954,University Of Nevada - Las Vegas,5,Selective public,NV,90400,41500,0.018881215
955,University Of New England,6,Selective private,ME,89600,48100,0.010725766
956,University Of New Hampshire,5,Selective public,NH,109900,49100,0.011960809
957,University Of New Haven,6,Selective private,CT,84900,49800,0.018366631
958,University Of New Mexico,5,Selective public,NM,73900,34900,0.020363495
959,University Of New Orleans ,5,Selective public,LA,66400,36500,0.030657338
960,University Of North Alabama,5,Selective public,AL,80300,36000,0.014887502
961,University Of North Carolina  Asheville,5,Selective public,NC,90600,36500,0.0070221387
962,University Of North Carolina - Chapel Hill,2,Other elite schools (public and private),NC,129500,54200,0.011518728
963,University Of North Carolina - Charlotte,5,Selective public,NC,92300,42700,0.01638039
964,University Of North Carolina - Greensboro,5,Selective public,NC,88700,36800,0.012650148
965,University Of North Carolina At Pembroke,5,Selective public,NC,63600,33100,0.019961538
966,University Of North Carolina At Wilmington ,5,Selective public,NC,106500,41700,0.0071167783
967,University Of North Dakota,5,Selective public,ND,90000,49400,0.015714563
968,University Of North Florida,5,Selective public,FL,88900,42400,0.016936943
969,University Of North Georgia,5,Selective public,GA,96300,40700,0.012176153
970,University Of North Texas,5,Selective public,TX,98700,42000,0.014619863
971,University Of Northern Colorado,5,Selective public,CO,99000,40900,0.010328252
972,University Of Northern Iowa,5,Selective public,IA,88700,45800,0.01121862
973,University Of Northwestern- St Paul,6,Selective private,MN,79700,32800,0.010495855
974,University Of Notre Dame,2,Other elite schools (public and private),IN,165400,78800,0.0089727286
975,University Of Oklahoma,5,Selective public,OK,98500,47200,0.019244652
976,University Of Oregon,5,Selective public,OR,108700,43700,0.014200409
977,University Of Pennsylvania,1,Ivy Plus,PA,175300,91800,0.020525046
978,University Of Pikeville,6,Selective private,KY,57400,32000,0.015828652
979,University Of Pittsburgh System,3,Highly selective public,PA,91200,48900,0.01799047
980,University Of Portland,6,Selective private,OR,117600,56100,0.0092387525
981,University Of Puget Sound,4,Highly selective private,WA,129700,51400,0.0073641879
982,University Of Redlands,6,Selective private,CA,108400,47700,0.017173236
983,University Of Rhode Island,5,Selective public,RI,105900,53400,0.015883412
984,University Of Richmond,2,Other elite schools (public and private),VA,180600,69600,0.0064246743
985,University Of Rio Grande,6,Selective private,OH,60300,27900,0.012656126
986,University Of Rochester,2,Other elite schools (public and private),NY,129200,62000,0.030212082
987,"University Of Saint Francis of Fort Wayne, IN",6,Selective private,IN,83700,38600,0.0084346281
988,"University Of Saint Francis of Joliet, IL",6,Selective private,IL,91600,48500,0.013452135
989,University Of Saint Joseph,6,Selective private,CT,86600,45800,0.030457607
990,"University Of Saint Thomas of Houston, TX",6,Selective private,TX,90600,48600,0.028413193
991,"University Of Saint Thomas of Saint Paul, MN",6,Selective private,MN,122900,57400,0.0097989738
992,University Of San Diego,4,Highly selective private,CA,139300,61200,0.023036603
993,University Of San Francisco,6,Selective private,CA,106900,56900,0.027077734
994,University Of Science & Arts Of Oklahoma,5,Selective public,OK,59400,28400,0.020168917
995,University Of Scranton,6,Selective private,PA,120200,60000,0.015549001
996,University Of Sioux Falls,6,Selective private,SD,78600,42600,0.014573715
997,University Of South Alabama,5,Selective public,AL,76700,36700,0.019542847
998,University Of South Carolina System,5,Selective public,SC,85400,39600,0.016827494
999,"University Of South Dakota, South Dakota State Universities And South Dakota School Of Mines And Technology",5,Selective public,SD,71600,39600,0.016158605
1000,University Of South Florida,5,Selective public,FL,80500,42400,0.027492894
1001,University Of Southern California,2,Other elite schools (public and private),CA,120100,63700,0.039329737
1002,University Of Southern Indiana,5,Selective public,IN,83700,35400,0.006327522
1003,University Of Southern Mississippi,5,Selective public,MS,76700,37200,0.021440152
1004,University Of Tampa ,6,Selective private,FL,92900,44700,0.026373705
1005,University Of Tennessee System,5,Selective public,TN,99200,42000,0.012680815
1006,University Of Texas - Pan American,5,Selective public,TX,31700,39300,0.076487988
1007,University Of Texas At Arlington,5,Selective public,TX,83600,46500,0.025995217
1008,University Of Texas At Austin,3,Highly selective public,TX,125100,57900,0.022225698
1009,University Of Texas At Dallas,3,Highly selective public,TX,100800,57100,0.024302004
1010,University Of Texas At El Paso,5,Selective public,TX,42400,38400,0.06820751
1011,University Of Texas At San Antonio,5,Selective public,TX,74300,43000,0.029185917
1012,University Of The Cumberlands,6,Selective private,KY,67000,36000,0.023227936
1013,University Of The District Of Columbia,5,Selective public,DC,40000,30100,0.03778879
1014,University Of The Incarnate Word,6,Selective private,TX,69900,40200,0.028314995
1015,University Of The Ozarks,6,Selective private,AR,72600,40300,0.0093466211
1016,University Of The Pacific,6,Selective private,CA,96500,59000,0.04254083
1017,University Of The Sciences In Philadelphia,6,Selective private,PA,95300,102700,0.033514135
1018,University Of The South ,4,Highly selective private,TN,174200,46600,0.011153774
1019,University Of Toledo,5,Selective public,OH,85200,41400,0.011262643
1020,University Of Tulsa ,4,Highly selective private,OK,93600,46400,0.011506592
1021,University Of Utah,5,Selective public,UT,107400,41400,0.011315004
1022,University Of Vermont And State Agricultural College,5,Selective public,VT,120100,46700,0.011759596
1023,University Of Virginia,2,Other elite schools (public and private),VA,151000,71200,0.014619415
1024,University Of Virginia's College At Wise ,5,Selective public,VA,69900,38200,0.024868697
1025,University Of Washington System,5,Selective public,WA,108100,57500,0.024520488
1026,University Of West Alabama,5,Selective public,AL,60200,35800,0.024878439
1027,University Of West Florida ,5,Selective public,FL,79700,37500,0.02001611
1028,University Of West Georgia,5,Selective public,GA,85400,37500,0.014645496
1029,University Of Wisconsin System,3,Highly selective public,WI,96100,44000,0.0087985052
1030,University Of Wyoming,5,Selective public,WY,90100,45700,0.015060502
1031,Upper Iowa University,6,Selective private,IA,62000,36900,0.014431433
1032,Urbana University,6,Selective private,OH,75500,38900,0.0052408893
1033,Ursinus College,6,Selective private,PA,103200,58500,0.0096541364
1034,Ursuline College,6,Selective private,OH,75100,39300,0.017069841
1035,Utah State University,5,Selective public,UT,91300,30100,0.0064854589
1036,Utica College,6,Selective private,NY,67500,47800,0.05026231
1037,Valdosta State University,5,Selective public,GA,83400,37800,0.012920764
1038,Valley City State University,5,Selective public,ND,62700,41800,0.021546252
1039,Valparaiso University,6,Selective private,IN,107000,51200,0.0080710137
1040,Vanderbilt University,2,Other elite schools (public and private),TN,197900,72800,0.014718471
1041,Vanguard University Of Southern California,6,Selective private,CA,83200,32900,0.011353597
1042,Vassar College,2,Other elite schools (public and private),NY,145100,46000,0.010944489
1043,Villanova University,2,Other elite schools (public and private),PA,159900,78300,0.013182082
1044,Virginia Commonwealth University,5,Selective public,VA,90700,40200,0.019243585
1045,Virginia Military Institute,5,Selective public,VA,116700,70800,0.019949649
1046,Virginia Polytechnic Institute & State University,3,Highly selective public,VA,123300,62300,0.013518651
1047,Virginia State University,5,Selective public,VA,52200,35900,0.034331579
1048,Virginia Wesleyan College,6,Selective private,VA,90400,40400,0.01279017
1049,Viterbo University,6,Selective private,WI,78200,38600,0.008021649
1050,Wabash College,6,Selective private,IN,100800,58200,0.017322537
1051,Wagner College,6,Selective private,NY,114400,58000,0.021850966
1052,Wake Forest University,2,Other elite schools (public and private),NC,191500,71500,0.0072119986
1053,Walla Walla University,6,Selective private,WA,94100,39000,0.012220651
1054,Walsh University,6,Selective private,OH,82700,42600,0.0063308454
1055,Warren Wilson College,6,Selective private,NC,104100,23800,0.006320864
1056,Wartburg College,6,Selective private,IA,85100,48400,0.0076405262
1057,Washburn University - Topeka,5,Selective public,KS,80800,39400,0.0091756936
1058,Washington Adventist University,6,Selective private,MD,74900,36200,0.015974376
1059,Washington And Jefferson College,6,Selective private,PA,99300,54700,0.013819983
1060,Washington And Lee University,2,Other elite schools (public and private),VA,226700,78200,0.00570929
1061,Washington College,6,Selective private,MD,120900,51500,0.01230266
1062,Washington State University,5,Selective public,WA,104200,50000,0.014843442
1063,Washington University In St. Louis,2,Other elite schools (public and private),MO,180200,67500,0.01037176
1064,Wayland Baptist University,6,Selective private,TX,60200,39800,0.019498071
1065,Wayne State College,5,Selective public,NE,67800,40500,0.0098945107
1066,Wayne State University,5,Selective public,MI,81800,38400,0.024474362
1067,Waynesburg University,6,Selective private,PA,74000,42900,0.023815975
1068,Webber International University,6,Selective private,FL,62400,42000,0.014950736
1069,Weber State University,5,Selective public,UT,92000,35500,0.0086152814
1070,Webster University,6,Selective private,MO,96000,36900,0.0087023275
1071,Wellesley College,2,Other elite schools (public and private),MA,142500,56300,0.024083447
1072,Wells College,6,Selective private,NY,74900,41500,0.024599908
1073,Wentworth Institute Of Technology,6,Selective private,MA,93600,59700,0.026162557
1074,Wesley College,6,Selective private,DE,81500,44100,0.023901707
1075,Wesleyan University,2,Other elite schools (public and private),CT,165300,56500,0.019636208
1076,West Chester University Of Pennsylvania,5,Selective public,PA,102700,47500,0.012733021
1077,West Liberty University,5,Selective public,WV,72200,36400,0.012908548
1078,West Texas A&M University,5,Selective public,TX,74600,39900,0.021536281
1079,West Virginia Community And Technical College System,5,Selective public,WV,64200,33900,0.015997078
1080,West Virginia State University,5,Selective public,WV,65100,27200,0.013531802
1081,"West Virginia University, West Virginia University Institute Of Technology, West Virginia University - Parkersburg, And Potomac State College",5,Selective public,WV,86700,42700,0.016364807
1082,West Virginia Wesleyan College,6,Selective private,WV,86300,46800,0.0058931899
1083,Western Carolina University,5,Selective public,NC,88000,36700,0.011105026
1084,Western Connecticut State University,5,Selective public,CT,100500,47300,0.017392995
1085,Western Illinois University,5,Selective public,IL,93400,45200,0.011547994
1086,Western Kentucky University,5,Selective public,KY,76100,35100,0.014070529
1087,Western Michigan University,5,Selective public,MI,112200,45000,0.010054297
1088,Western New England University,6,Selective private,MA,99300,57100,0.020167124
1089,Western New Mexico University,5,Selective public,NM,51200,28000,0.030912109
1090,Western Oregon University,5,Selective public,OR,86900,40800,0.012520499
1091,Western State Colorado University,5,Selective public,CO,94700,35800,0.0077849077
1092,Western Washington University,5,Selective public,WA,108100,45900,0.011292228
1093,Westfield State University,5,Selective public,MA,98100,48200,0.0089962315
1094,"Westminster College of Fulton, MO",6,Selective private,MO,96600,47300,0.015415492
1095,"Westminster College of New Wilmington, PA",6,Selective private,PA,87900,46400,0.018366123
1096,"Westminster College of Salt Lake City, UT",6,Selective private,UT,95400,41500,0.017022833
1097,Westmont College,4,Highly selective private,CA,132100,47600,0.010913183
1098,"Wheaton College of Norton, MA",4,Highly selective private,MA,117300,46600,0.012640215
1099,"Wheaton College of Wheaton, IL",4,Highly selective private,IL,130900,41500,0.017115509
1100,Wheeling Jesuit University,6,Selective private,WV,85100,47200,0.013205372
1101,Wheelock College,6,Selective private,MA,95600,35300,0.0097018294
1102,Whitman College,2,Other elite schools (public and private),WA,138200,48500,0.0088804727
1103,Whittier College,6,Selective private,CA,98500,47900,0.029580679
1104,Whitworth University,6,Selective private,WA,98500,41000,0.0050186208
1105,Wichita State University,5,Selective public,KS,86400,38000,0.01209196
1106,Widener University,6,Selective private,PA,96000,53400,0.020144884
1107,Wilkes University,6,Selective private,PA,80100,52500,0.028792452
1108,Willamette University,6,Selective private,OR,110800,49400,0.018352445
1109,William Carey University,6,Selective private,MS,66500,31700,0.020372465
1110,William Jewell College,6,Selective private,MO,95100,42600,0.0055289064
1111,William Paterson University Of New Jersey,5,Selective public,NJ,89500,46900,0.028375005
1112,William Penn University,6,Selective private,IA,64400,38300,0.016139179
1113,William Woods University,6,Selective private,MO,88600,35000,0.002847332
1114,Williams Baptist College,6,Selective private,AR,53800,30500,0.014642493
1115,Williams College,2,Other elite schools (public and private),MA,184000,62600,0.0098658074
1116,Wilmington College,6,Selective private,OH,71400,40400,0.009329536
1117,Wilmington University,6,Selective private,DE,94300,39600,0.0083767185
1118,Wingate University,6,Selective private,NC,86600,40700,0.012407327
1119,Winston-Salem State University,5,Selective public,NC,45400,33800,0.030280408
1120,Winthrop University,5,Selective public,SC,84100,38600,0.013888506
1121,Wisconsin Lutheran College,6,Selective private,WI,85400,39300,0.0062708403
1122,Wittenberg University,6,Selective private,OH,104800,46100,0.0079834191
1123,Wofford College,4,Highly selective private,SC,133400,55100,0.011826379
1124,Woodbury University,6,Selective private,CA,61900,44300,0.06364359
1125,Worcester Polytechnic Institute,4,Highly selective private,MA,109500,85200,0.021758402
1126,Worcester State University,5,Selective public,MA,87600,44800,0.014952938
1127,Wright State University,5,Selective public,OH,83200,39400,0.0077764117
1128,Xavier University,6,Selective private,OH,122100,52200,0.0084580183
1129,Xavier University Of Louisiana,6,Selective private,LA,63100,48400,0.052551392
1130,Yale University,1,Ivy Plus,CT,199700,76000,0.020817067
1131,Yeshiva University,6,Selective private,NY,180100,46400,0.015016814
1132,Youngstown State University,5,Selective public,OH,71500,36000,0.013419556
